ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
1542,46.17.05,Attività di intermediari del commercio all'ingrosso di oli e grassi alimentari,Activities of agents involved in the wholesale of edible oils and fats,Tätigkeiten der Großhandelsvermittlung von Speiseölen und -fetten,6,46.17.0,5
1543,46.17.06,Attività di intermediari del commercio all'ingrosso di bevande,Activities of agents involved in the wholesale of beverages,Tätigkeiten der Großhandelsvermittlung von Getränken,6,46.17.0,5
1544,46.17.07,Attività di intermediari del commercio all'ingrosso di altri prodotti alimentari e tabacchi,Activities of agents involved in the wholesale of other food and tobacco,Tätigkeiten der Großhandelsvermittlung von anderen Nahrungsmitteln und Tabakwaren,6,46.17.0,5
1545,46.18,Attività di intermediari del commercio all'ingrosso di altri prodotti specifici,Activities of agents involved in the wholesale of other particular products,Tätigkeiten der Großhandelsvermittlung von sonstigen Waren,4,46.1,3
1546,46.18.1,"Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici e articoli medicali, profumi e articoli di profumeria e prodotti per la pulizia","Activities of agents involved in the wholesale of pharmaceutical and medical goods, perfumery and toilet articles and cleaning materials","Tätigkeiten der Großhandelsvermittlung von pharmazeutischen Erzeugnissen und medizinischen Artikeln, Parfüms und Körperpflegemitteln und Reinigungsmitteln",5,46.18,4
1547,46.18.11,Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici,Activities of agents involved in the wholesale of pharmaceutical goods,Tätigkeiten der Großhandelsvermittlung von pharmazeutischen Erzeugnissen,6,46.18.1,5
1548,46.18.12,Attività di intermediari del commercio all'ingrosso di articoli medicali,Activities of agents involved in the wholesale of medical goods,Tätigkeiten der Großhandelsvermittlung von medizinischen Artikeln,6,46.18.1,5
1549,46.18.13,Attività di intermediari del commercio all'ingrosso di profumi e articoli di profumeria,Activities of agents involved in the wholesale of perfumery and toilet articles,Tätigkeiten der Großhandelsvermittlung von Parfüms und Körperpflegemitteln,6,46.18.1,5
1550,46.18.14,Attività di intermediari del commercio all'ingrosso di prodotti per la pulizia,Activities of agents involved in the wholesale of cleaning materials,Tätigkeiten der Großhandelsvermittlung von Reinigungsmitteln,6,46.18.1,5
1551,46.18.2,"Attività di intermediari del commercio all'ingrosso di giochi e giocattoli, attrezzature sportive, orologi e gioielli, apparecchiature fotografiche e strumenti ottici","Activities of agents involved in the wholesale of games and toys, sports goods, watches, clocks and jewellery, photographic and optical equipment","Tätigkeiten der Großhandelsvermittlung von Spielwaren, Sportgeräten, Uhren und Schmuck, fotografischen und optischen Geräten und Instrumenten",5,46.18,4
1552,46.18.21,Attività di intermediari del commercio all'ingrosso di giochi e giocattoli,Activities of agents involved in the wholesale of games and toys,Tätigkeiten der Großhandelsvermittlung von Spielwaren,6,46.18.2,5
1553,46.18.22,Attività di intermediari del commercio all'ingrosso di biciclette,Activities of agents involved in the wholesale of bicycles,Tätigkeiten der Großhandelsvermittlung von Fahrrädern,6,46.18.2,5
1554,46.18.23,Attività di intermediari del commercio all'ingrosso di altre attrezzature sportive,Activities of agents involved in the wholesale of other sports goods,Tätigkeiten der Großhandelsvermittlung von anderen Sportgeräten,6,46.18.2,5
1555,46.18.24,Attività di intermediari del commercio all'ingrosso di orologi e gioielli,"Activities of agents involved in the wholesale of watches, clocks and jewellery",Tätigkeiten der Großhandelsvermittlung von Uhren und Schmuck,6,46.18.2,5
1556,46.18.25,Attività di intermediari del commercio all'ingrosso di oggetti di bigiotteria,Activities of agents involved in the wholesale of imitation jewellery,Tätigkeiten der Großhandelsvermittlung von Fantasieschmuck,6,46.18.2,5
1557,46.18.26,Attività di intermediari del commercio all'ingrosso di apparecchiature fotografiche e strumenti ottici,Activities of agents involved in the wholesale of photographic and optical equipment,Tätigkeiten der Großhandelsvermittlung von fotografischen und optischen Geräten und Instrumenten,6,46.18.2,5
1558,46.18.3,"Attività di intermediari del commercio all'ingrosso di libri, giornali, riviste e articoli di cancelleria","Activities of agents involved in the wholesale of books, newspapers, magazines and stationery","Tätigkeiten der Großhandelsvermittlung von Büchern, Zeitungen, Zeitschriften und Schreibwaren",5,46.18,4
1559,46.18.31,Attività di intermediari del commercio all'ingrosso di libri,Activities of agents involved in the wholesale of books,Tätigkeiten der Großhandelsvermittlung von Büchern,6,46.18.3,5
1560,46.18.32,Attività di intermediari del commercio all'ingrosso di giornali e riviste,Activities of agents involved in the wholesale of newspapers and magazines,Tätigkeiten der Großhandelsvermittlung von Zeitungen und Zeitschriften,6,46.18.3,5
1561,46.18.33,Attività di intermediari del commercio all'ingrosso di articoli di cancelleria,Activities of agents involved in the wholesale of stationery,Tätigkeiten der Großhandelsvermittlung von Schreibwaren,6,46.18.3,5
1562,46.18.4,"Attività di intermediari del commercio all'ingrosso di automobili, altri autoveicoli e motocicli","Activities of agents involved in the wholesale of cars, other motor vehicles and motorcycles","Tätigkeiten der Großhandelsvermittlung von Autos, anderen Kraftfahrzeugen und Krafträdern",5,46.18,4
1563,46.18.41,Attività di intermediari del commercio all'ingrosso di automobili e autoveicoli leggeri,Activities of agents involved in the wholesale of cars and light motor vehicles,"Tätigkeiten der Großhandelsvermittlung von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger",6,46.18.4,5
1564,46.18.42,Attività di intermediari del commercio all'ingrosso di altri autoveicoli,Activities of agents involved in the wholesale of other motor vehicles,Tätigkeiten der Großhandelsvermittlung von anderen Kraftfahrzeugen,6,46.18.4,5
1565,46.18.43,Attività di intermediari del commercio all'ingrosso di parti e accessori di autoveicoli,Activities of agents involved in the wholesale of parts and accessories for motor vehicles,Tätigkeiten der Großhandelsvermittlung von Kraftfahrzeugteilen und -zubehör,6,46.18.4,5
1566,46.18.44,Attività di intermediari del commercio all'ingrosso di motocicli,Activities of agents involved in the wholesale of motorcycles,Tätigkeiten der Großhandelsvermittlung von Krafträdern,6,46.18.4,5
1567,46.18.45,Attività di intermediari del commercio all'ingrosso di parti e accessori di motocicli,Activities of agents involved in the wholesale of parts and accessories for motorcycles,Tätigkeiten der Großhandelsvermittlung von Kraftradteilen und -zubehör,6,46.18.4,5
1568,46.18.46,Attività di intermediari del commercio all'ingrosso di materiale rotabile e di parti e accessori per materiale rotabile,Activities of agents involved in the wholesale of rolling stock and parts and accessories for rolling stock,Tätigkeiten der Großhandelsvermittlung von Schienenfahrzeugen und Schienenfahrzeugteilen und -zubehör,6,46.18.4,5
1569,46.18.5,Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video,Activities of agents involved in the wholesale of audio and video equipment,Tätigkeiten der Großhandelsvermittlung von Ton- und Videogeräten,5,46.18,4
1570,46.18.50,Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video,Activities of agents involved in the wholesale of audio and video equipment,Tätigkeiten der Großhandelsvermittlung von Ton- und Videogeräten,6,46.18.5,5
1571,46.18.9,Attività di intermediari del commercio all'ingrosso di altri prodotti specifici n.c.a.,Activities of agents involved in the wholesale of other particular products n.e.c.,Tätigkeiten der Großhandelsvermittlung von sonstigen Waren a. n. g.,5,46.18,4
1572,46.18.91,Attività di intermediari del commercio all'ingrosso di rifiuti,Activities of agents involved in the wholesale of waste,Tätigkeiten der Großhandelsvermittlung von Abfällen,6,46.18.9,5
1573,46.18.92,Attività di intermediari del commercio all'ingrosso di rivestimenti per pareti e per pavimenti,Activities of agents involved in the wholesale of wall and floor coverings,Tätigkeiten der Großhandelsvermittlung von Fußbodenbelägen und Tapeten,6,46.18.9,5
1574,46.18.93,Attività di intermediari del commercio all'ingrosso di strumenti musicali,Activities of agents involved in the wholesale of musical instruments,Tätigkeiten der Großhandelsvermittlung von Musikinstrumenten,6,46.18.9,5
1575,46.18.99,Attività di intermediari del commercio all'ingrosso di altri prodotti specifici vari n.c.a.,Activities of agents involved in the wholesale of other various particular products n.e.c.,Tätigkeiten der Großhandelsvermittlung von allen anderen Waren a. n. g.,6,46.18.9,5
1576,46.19,Attività di intermediari del commercio all'ingrosso non specializzato,Activities of agents involved in non-specialised wholesale,Tätigkeiten der Großhandelsvermittlung von Waren ohne ausgeprägten Schwerpunkt,4,46.1,3
1577,46.19.0,Attività di intermediari del commercio all'ingrosso non specializzato,Activities of agents involved in non-specialised wholesale,Tätigkeiten der Großhandelsvermittlung von Waren ohne ausgeprägten Schwerpunkt,5,46.19,4
1578,46.19.00,Attività di intermediari del commercio all'ingrosso non specializzato,Activities of agents involved in non-specialised wholesale,Tätigkeiten der Großhandelsvermittlung von Waren ohne ausgeprägten Schwerpunkt,6,46.19.0,5
1579,46.2,Commercio all'ingrosso di materie prime agricole e animali vivi,Wholesale of agricultural raw materials and live animals,Großhandel mit landwirtschaftlichen Grundstoffen und lebenden Tieren,3,46,2
1580,46.21,"Commercio all'ingrosso di cereali, tabacco grezzo, sementi e alimenti per il bestiame","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","Großhandel mit Getreide, Rohtabak, Saatgut und Futtermitteln",4,46.2,3
1581,46.21.1,Commercio all'ingrosso di cereali,Wholesale of grains,Großhandel mit Getreide,5,46.21,4
1582,46.21.10,Commercio all'ingrosso di cereali,Wholesale of grains,Großhandel mit Getreide,6,46.21.1,5
1583,46.21.2,"Commercio all'ingrosso di tabacco grezzo, sementi e alimenti per il bestiame","Wholesale of unmanufactured tobacco, seeds and animal feeds","Großhandel mit Rohtabak, Saatgut und Futtermitteln",5,46.21,4
1584,46.21.21,Commercio all'ingrosso di tabacco grezzo,Wholesale of unmanufactured tobacco,Großhandel mit Rohtabak,6,46.21.2,5
1585,46.21.22,Commercio all'ingrosso di sementi e alimenti per il bestiame,Wholesale of seeds and animal feeds,Großhandel mit Saatgut und Futtermitteln,6,46.21.2,5
1586,46.22,Commercio all'ingrosso di fiori e piante,Wholesale of flowers and plants,Großhandel mit Blumen und Pflanzen,4,46.2,3
1587,46.22.0,Commercio all'ingrosso di fiori e piante,Wholesale of flowers and plants,Großhandel mit Blumen und Pflanzen,5,46.22,4
1588,46.22.00,Commercio all'ingrosso di fiori e piante,Wholesale of flowers and plants,Großhandel mit Blumen und Pflanzen,6,46.22.0,5
1589,46.23,Commercio all'ingrosso di animali vivi,Wholesale of live animals,Großhandel mit lebenden Tieren,4,46.2,3
1590,46.23.0,Commercio all'ingrosso di animali vivi,Wholesale of live animals,Großhandel mit lebenden Tieren,5,46.23,4
1591,46.23.00,Commercio all'ingrosso di animali vivi,Wholesale of live animals,Großhandel mit lebenden Tieren,6,46.23.0,5
1592,46.24,Commercio all'ingrosso di pelli e cuoio,"Wholesale of hides, skins and leather","Großhandel mit Häuten, Fellen und Leder",4,46.2,3
1593,46.24.0,Commercio all'ingrosso di pelli e cuoio,"Wholesale of hides, skins and leather","Großhandel mit Häuten, Fellen und Leder",5,46.24,4
1594,46.24.01,Commercio all'ingrosso di pelli per pellicceria,Wholesale of fur skins,Großhandel mit Fellen für Pelzwaren,6,46.24.0,5
1595,46.24.02,Commercio all'ingrosso di pelli non per pellicceria e cuoio,"Wholesale of other hides and leather, other than fur skins",Großhandel mit Fellen (nicht für Pelzwaren) und Häuten,6,46.24.0,5
1596,46.3,"Commercio all'ingrosso di prodotti alimentari, bevande e tabacchi","Wholesale of food, beverages and tobacco","Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren",3,46,2
1597,46.31,Commercio all'ingrosso di frutta e ortaggi,Wholesale of fruit and vegetables,"Großhandel mit Obst, Gemüse und Kartoffeln",4,46.3,3
1598,46.31.1,Commercio all'ingrosso di frutta e ortaggi freschi,Wholesale of fresh fruit and vegetables,Großhandel mit frischem Obst und Gemüse,5,46.31,4
1599,46.31.10,Commercio all'ingrosso di frutta e ortaggi freschi,Wholesale of fresh fruit and vegetables,Großhandel mit frischem Obst und Gemüse,6,46.31.1,5
1600,46.31.2,Commercio all'ingrosso di frutta e ortaggi conservati o surgelati,Wholesale of preserved or frozen fruit and vegetables,Großhandel mit haltbar gemachtem oder tiefgekühltem Obst und Gemüse und Kartoffeln,5,46.31,4
1601,46.31.20,Commercio all'ingrosso di frutta e ortaggi conservati o surgelati,Wholesale of preserved or frozen fruit and vegetables,Großhandel mit haltbar gemachtem oder tiefgekühltem Obst und Gemüse und Kartoffeln,6,46.31.2,5
1602,46.32,"Commercio all'ingrosso di carne, prodotti a base di carne, pesce e prodotti a base di pesce","Wholesale of meat, meat products, fish and fish products","Großhandel mit Fleisch, Fleischwaren, Fisch und Fischerzeugnissen",4,46.3,3
1603,46.32.1,Commercio all'ingrosso di carne,Wholesale of meat,Großhandel mit Fleisch,5,46.32,4
1604,46.32.11,Commercio all'ingrosso di carni fresche,Wholesale of fresh meat,Großhandel mit frischem Fleisch,6,46.32.1,5
1605,46.32.12,Commercio all'ingrosso di carni conservate o surgelate,Wholesale of frozen or preserved meat,Großhandel mit haltbar gemachtem oder tiefgekühltem Fleisch,6,46.32.1,5
1606,46.32.2,Commercio all'ingrosso di salumi e di altri prodotti a base di carne,Wholesale of charcuterie and other meat products,Großhandel mit Wurstwaren und anderen Fleischprodukten,5,46.32,4
1607,46.32.20,Commercio all'ingrosso di salumi e di altri prodotti a base di carne,Wholesale of charcuterie and other meat products,Großhandel mit Wurstwaren und anderen Fleischprodukten,6,46.32.2,5
1608,46.32.3,Commercio all'ingrosso di pesce,Wholesale of fish,Großhandel mit Fisch,5,46.32,4
1609,46.32.31,Commercio all'ingrosso di pesci freschi,Wholesale of fresh fish,Großhandel mit frischem Fisch,6,46.32.3,5
1610,46.32.32,Commercio all'ingrosso di pesci conservati o surgelati e di prodotti a base di pesce,Wholesale of preserved or frozen fish and fish products,Großhandel mit haltbar gemachtem oder tiefgekühltem Fisch und Fischprodukten,6,46.32.3,5
1611,46.33,"Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi alimentari","Wholesale of dairy products, eggs and edible oils and fats","Großhandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten",4,46.3,3
1612,46.33.1,Commercio all'ingrosso di prodotti lattiero-caseari e uova,Wholesale of dairy products and eggs,"Großhandel mit Milch, Milcherzeugnissen und Eiern",5,46.33,4
1613,46.33.10,Commercio all'ingrosso di prodotti lattiero-caseari e uova,Wholesale of dairy products and eggs,"Großhandel mit Milch, Milcherzeugnissen und Eiern",6,46.33.1,5
1614,46.33.2,Commercio all'ingrosso di oli e grassi alimentari,Wholesale of edible oils and fats,Großhandel mit Speiseölen und Nahrungsfetten,5,46.33,4
1615,46.33.20,Commercio all'ingrosso di oli e grassi alimentari,Wholesale of edible oils and fats,Großhandel mit Speiseölen und Nahrungsfetten,6,46.33.2,5
1616,46.34,Commercio all'ingrosso di bevande,Wholesale of beverages,Großhandel mit Getränken,4,46.3,3
1617,46.34.1,Commercio all'ingrosso di bevande alcoliche,Wholesale of alcoholic beverages,Großhandel mit alkoholhaltigen Getränken,5,46.34,4
1618,46.34.10,Commercio all'ingrosso di bevande alcoliche,Wholesale of alcoholic beverages,Großhandel mit alkoholhaltigen Getränken,6,46.34.1,5
1619,46.34.2,Commercio all'ingrosso di bevande analcoliche,Wholesale of non-alcoholic beverages,Großhandel mit alkoholfreien Getränken,5,46.34,4
1620,46.34.20,Commercio all'ingrosso di bevande analcoliche,Wholesale of non-alcoholic beverages,Großhandel mit alkoholfreien Getränken,6,46.34.2,5
1621,46.35,Commercio all'ingrosso di prodotti del tabacco,Wholesale of tobacco products,Großhandel mit Tabakwaren,4,46.3,3
1622,46.35.0,Commercio all'ingrosso di prodotti del tabacco,Wholesale of tobacco products,Großhandel mit Tabakwaren,5,46.35,4
1623,46.35.01,Commercio all'ingrosso di sigarette elettroniche,Wholesale of electronic cigarettes,Großhandel mit elektronischen Zigaretten,6,46.35.0,5
1624,46.35.09,Commercio all'ingrosso di prodotti del tabacco n.c.a.,Wholesale of tobacco products n.e.c.,Großhandel mit Tabakwaren a. n. g.,6,46.35.0,5
1625,46.36,"Commercio all'ingrosso di zucchero, cioccolato e dolciumi","Wholesale of sugar, chocolate and sugar confectionery","Großhandel mit Zucker, Süßwaren und Backwaren",4,46.3,3
1626,46.36.0,"Commercio all'ingrosso di zucchero, cioccolato e dolciumi","Wholesale of sugar, chocolate and sugar confectionery","Großhandel mit Zucker, Süßwaren und Backwaren",5,46.36,4
1627,46.36.00,"Commercio all'ingrosso di zucchero, cioccolato e dolciumi","Wholesale of sugar, chocolate and sugar confectionery","Großhandel mit Zucker, Süßwaren und Backwaren",6,46.36.0,5
1628,46.37,"Commercio all'ingrosso di caffè, tè, cacao e spezie","Wholesale of coffee, tea, cocoa and spices","Großhandel mit Kaffee, Tee, Kakao und Gewürzen",4,46.3,3
1629,46.37.0,"Commercio all'ingrosso di caffè, tè, cacao e spezie","Wholesale of coffee, tea, cocoa and spices","Großhandel mit Kaffee, Tee, Kakao und Gewürzen",5,46.37,4
1630,46.37.01,Commercio all'ingrosso di caffè,Wholesale of coffee,Großhandel mit Kaffee,6,46.37.0,5
1631,46.37.02,"Commercio all'ingrosso di tè, cacao e spezie","Wholesale of tea, cocoa and spices","Großhandel mit Tee, Kakao und Gewürzen",6,46.37.0,5
1632,46.38,Commercio all'ingrosso di altri prodotti alimentari,Wholesale of other food,Großhandel mit sonstigen Nahrungs- und Genussmitteln,4,46.3,3
1633,46.38.0,Commercio all'ingrosso di altri prodotti alimentari,Wholesale of other food,Großhandel mit sonstigen Nahrungs- und Genussmitteln,5,46.38,4
1634,46.38.00,Commercio all'ingrosso di altri prodotti alimentari,Wholesale of other food,Großhandel mit sonstigen Nahrungs- und Genussmitteln,6,46.38.0,5
1635,46.39,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi","Non-specialised wholesale of food, beverages and tobacco","Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt",4,46.3,3
1636,46.39.0,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi","Non-specialised wholesale of food, beverages and tobacco","Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt",5,46.39,4
1637,46.39.00,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi","Non-specialised wholesale of food, beverages and tobacco","Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt",6,46.39.0,5
1638,46.4,Commercio all'ingrosso di beni di consumo,Wholesale of household goods,Großhandel mit Gebrauchs- und Verbrauchsgütern,3,46,2
1639,46.41,Commercio all'ingrosso di prodotti tessili,Wholesale of textiles,Großhandel mit Textilien,4,46.4,3
1640,46.41.1,Commercio all'ingrosso di tessuti,Wholesale of fabrics,Großhandel mit Stoff,5,46.41,4
1641,46.41.10,Commercio all'ingrosso di tessuti,Wholesale of fabrics,Großhandel mit Stoff,6,46.41.1,5
1642,46.41.2,Commercio all'ingrosso di filati e articoli di merceria,Wholesale of yarn and haberdashery,Großhandel mit Garnen und Kurzwaren,5,46.41,4
1643,46.41.20,Commercio all'ingrosso di filati e articoli di merceria,Wholesale of yarn and haberdashery,Großhandel mit Garnen und Kurzwaren,6,46.41.2,5
1644,46.41.9,Commercio all'ingrosso di altri prodotti tessili,Wholesale of other textiles,Großhandel mit sonstigen Textilien,5,46.41,4
1645,46.41.90,Commercio all'ingrosso di altri prodotti tessili,Wholesale of other textiles,Großhandel mit sonstigen Textilien,6,46.41.9,5
1646,46.42,Commercio all'ingrosso di abbigliamento e di calzature,Wholesale of clothing and footwear,Großhandel mit Bekleidung und Schuhen,4,46.4,3
1647,46.42.1,Commercio all'ingrosso di abbigliamento e di accessori per l'abbigliamento,Wholesale of clothing and clothing accessories,Großhandel mit Bekleidung und Bekleidungszubehör,5,46.42,4
1648,46.42.10,Commercio all'ingrosso di abbigliamento e di accessori per l'abbigliamento,Wholesale of clothing and clothing accessories,Großhandel mit Bekleidung und Bekleidungszubehör,6,46.42.1,5
1649,46.42.2,Commercio all'ingrosso di articoli in pelliccia,Wholesale of fur articles,Großhandel mit Pelzwaren,5,46.42,4
1650,46.42.20,Commercio all'ingrosso di articoli in pelliccia,Wholesale of fur articles,Großhandel mit Pelzwaren,6,46.42.2,5
1651,46.42.3,Commercio all'ingrosso di calzature,Wholesale of footwear,Großhandel mit Schuhen,5,46.42,4
1652,46.42.30,Commercio all'ingrosso di calzature,Wholesale of footwear,Großhandel mit Schuhen,6,46.42.3,5
1653,46.43,Commercio all'ingrosso di elettrodomestici,Wholesale of electrical household appliances,"Großhandel mit Foto- und optischen Erzeugnissen, elektrischen Haushaltsgeräten und Geräten der Unterhaltungselektronik",4,46.4,3
1654,46.43.1,Commercio all'ingrosso di articoli per fotografia e ottica,Wholesale of photographic and optical goods,Großhandel mit Foto- und optischen Erzeugnissen,5,46.43,4
1655,46.43.10,Commercio all'ingrosso di articoli per fotografia e ottica,Wholesale of photographic and optical goods,Großhandel mit Foto- und optischen Erzeugnissen,6,46.43.1,5
1656,46.43.2,Commercio all'ingrosso di apparecchiature radiotelevisive,Wholesale of radio and television equipment,Großhandel mit Hörfunk- und Fernsehgeräten,5,46.43,4
1657,46.43.20,Commercio all'ingrosso di apparecchiature radiotelevisive,Wholesale of radio and television equipment,Großhandel mit Hörfunk- und Fernsehgeräten,6,46.43.2,5
1658,46.43.3,Commercio all'ingrosso di altri elettrodomestici,Wholesale of other electrical household appliances,Großhandel mit sonstigen elektrischen Haushaltsgeräten,5,46.43,4
1659,46.43.30,Commercio all'ingrosso di altri elettrodomestici,Wholesale of other electrical household appliances,Großhandel mit sonstigen elektrischen Haushaltsgeräten,6,46.43.3,5
1660,46.44,"Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia",Wholesale of china and glassware and cleaning materials,"Großhandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln",4,46.4,3
1661,46.44.1,Commercio all'ingrosso di articoli di porcellana,Wholesale of chinaware,Großhandel mit keramischen Erzeugnissen,5,46.44,4
1662,46.44.10,Commercio all'ingrosso di articoli di porcellana,Wholesale of chinaware,Großhandel mit keramischen Erzeugnissen,6,46.44.1,5
1663,46.44.2,Commercio all'ingrosso di articoli di vetro,Wholesale of glassware,Großhandel mit Glaswaren,5,46.44,4
1664,46.44.20,Commercio all'ingrosso di articoli di vetro,Wholesale of glassware,Großhandel mit Glaswaren,6,46.44.2,5
1665,46.44.3,"Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Wholesale of other household utensils, crockery and pottery","Großhandel mit anderen Haushaltsartikeln, Geschirr und Tonwaren",5,46.44,4
1666,46.44.30,"Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Wholesale of other household utensils, crockery and pottery","Großhandel mit anderen Haushaltsartikeln, Geschirr und Tonwaren",6,46.44.3,5
1667,46.44.4,Commercio all'ingrosso di prodotti per la pulizia,Wholesale of cleaning materials,Großhandel mit Reinigungsmitteln,5,46.44,4
1668,46.44.40,Commercio all'ingrosso di prodotti per la pulizia,Wholesale of cleaning materials,Großhandel mit Reinigungsmitteln,6,46.44.4,5
1669,46.45,Commercio all'ingrosso di profumi e cosmetici,Wholesale of perfume and cosmetics,Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,4,46.4,3
1670,46.45.0,Commercio all'ingrosso di profumi e cosmetici,Wholesale of perfume and cosmetics,Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,5,46.45,4
1671,46.45.00,Commercio all'ingrosso di profumi e cosmetici,Wholesale of perfume and cosmetics,Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,6,46.45.0,5
1672,46.46,Commercio all'ingrosso di prodotti farmaceutici e medicali,Wholesale of pharmaceutical and medical goods,Großhandel mit pharmazeutischen Erzeugnissen und medizinischen Hilfsmitteln,4,46.4,3
1673,46.46.1,Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici,Wholesale of basic pharmaceutical products and pharmaceutical preparations,Großhandel mit pharmazeutischen Grundstoffen und Erzeugnissen,5,46.46,4
1674,46.46.10,Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici,Wholesale of basic pharmaceutical products and pharmaceutical preparations,Großhandel mit pharmazeutischen Grundstoffen und Erzeugnissen,6,46.46.1,5
1675,46.46.2,Commercio all'ingrosso di rimedi erboristici,Wholesale of herbal remedies,Großhandel mit Kräuterheilmitteln,5,46.46,4
1676,46.46.20,Commercio all'ingrosso di rimedi erboristici,Wholesale of herbal remedies,Großhandel mit Kräuterheilmitteln,6,46.46.2,5
1677,46.46.3,Commercio all'ingrosso di prodotti medicali e ortopedici,Wholesale of medical and orthopaedic goods,Großhandel mit medizinischen und orthopädischen Erzeugnissen,5,46.46,4
1678,46.46.31,Commercio all'ingrosso di occhiali e lenti,"Wholesale of glasses, sunglasses and lenses",Großhandel mit Brillen und Linsen,6,46.46.3,5
1679,46.46.39,Commercio all'ingrosso di prodotti medicali e ortopedici n.c.a.,Wholesale of medical and orthopaedic goods n.e.c.,Großhandel mit medizinischen und orthopädischen Erzeugnissen a. n. g.,6,46.46.3,5
1680,46.47,"Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione per la casa, l'ufficio e i negozi","Wholesale of household, office and shop furniture, carpets and lighting equipment","Großhandel mit Möbeln, Teppichen, Lampen und Leuchten",4,46.4,3
1681,46.47.1,"Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi","Wholesale of household, office and shop furniture","Großhandel mit Möbeln für Haushalt, Büros und Läden",5,46.47,4
1682,46.47.10,"Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi","Wholesale of household, office and shop furniture","Großhandel mit Möbeln für Haushalt, Büros und Läden",6,46.47.1,5
1683,46.47.2,"Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi","Wholesale of household, office and shop carpets","Großhandel mit Teppichen für Haushalt, Büros und Läden",5,46.47,4
1684,46.47.20,"Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi","Wholesale of household, office and shop carpets","Großhandel mit Teppichen für Haushalt, Büros und Läden",6,46.47.2,5
1685,46.47.3,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi","Wholesale of household, office and shop lighting equipment","Großhandel mit Lampen und Leuchten für Haushalt, Büros und Läden",5,46.47,4
1686,46.47.30,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi","Wholesale of household, office and shop lighting equipment","Großhandel mit Lampen und Leuchten für Haushalt, Büros und Läden",6,46.47.3,5
1687,46.48,Commercio all'ingrosso di orologi e di gioielleria,Wholesale of watches and jewellery,Großhandel mit Uhren und Schmuck,4,46.4,3
1688,46.48.0,Commercio all'ingrosso di orologi e di gioielleria,Wholesale of watches and jewellery,Großhandel mit Uhren und Schmuck,5,46.48,4
1689,46.48.00,Commercio all'ingrosso di orologi e di gioielleria,Wholesale of watches and jewellery,Großhandel mit Uhren und Schmuck,6,46.48.0,5
1690,46.49,Commercio all'ingrosso di altri beni di consumo,Wholesale of other household goods,Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern,4,46.4,3
1691,46.49.1,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria","Wholesale of paper, paperboard and stationery","Großhandel mit Waren aus Papier, Pappe und Schreibwaren",5,46.49,4
1692,46.49.10,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria","Wholesale of paper, paperboard and stationery","Großhandel mit Waren aus Papier, Pappe und Schreibwaren",6,46.49.1,5
1693,46.49.2,"Commercio all'ingrosso di libri, riviste e giornali","Wholesale of books, magazines and newspapers","Großhandel mit Büchern, Zeitschriften und Zeitungen",5,46.49,4
